"totalPositive","timestamp","deaths","saludTimeSignature","testsInProgress","negativeCases","conductedTests","molecularPositive","serologicalPositive","antigenPositive"
"163469","2/1/2021, 8:00:11 AM","1836","Datos al 1 de febrero de 2021","","","","87440","69231","6798"
"164122","2/2/2021, 8:00:11 AM","1846","Datos al 2 de febrero de 2021","","","","87665","69596","6861"
"164500","2/3/2021, 8:00:10 AM","1853","Datos al 3 de febrero de 2021","","","","87749","69838","6913"
"165327","2/4/2021, 8:00:12 AM","1861","Datos al 4 de febrero de 2021","","","","88060","70343","6924"
"165501","2/5/2021, 8:00:11 AM","1867","Datos al 5 de febrero de 2021","","","","88119","70437","6945"
"166418","2/6/2021, 9:00:12 AM","1872","Datos al 6 de febrero de 2021","","","","88352","71063","7003"
"167654","2/7/2021, 9:00:08 AM","1883","Datos al 7 de febrero de 2021","","","","88810","71815","7029"
"168502","2/8/2021, 8:00:10 AM","1888","Datos al 8 de febrero de 2021","","","","89053","72341","7108"
"169069","2/9/2021, 12:30:09 PM","1893","Datos al 9 de febrero de 2021","","","","89242","72667","7160"
"169346","2/10/2021, 9:00:15 AM","1897","Datos al 10 de febrero de 2021","","","","89312","72852","7182"
"169705","2/11/2021, 8:00:09 AM","1902","Datos al 11 de febrero de 2021","","","","89414","73069","7222"
"170463","2/12/2021, 12:30:08 PM","1907","Datos al 12 de febrero de 2021","","","","89636","73539","7288"
"171683","2/13/2021, 8:00:10 AM","1915","Datos al 13 de febrero de 2021","","","","89957","74370","7356"
"172797","2/14/2021, 12:30:10 PM","1919","Datos al 14 de febrero de 2021","","","","90226","75188","7383"
"173352","2/15/2021, 8:00:09 AM","1920","Datos al 15 de febrero de 2021","","","","90429","75515","7408"
"174297","2/16/2021, 8:00:10 AM","1924","Datos al 16 de febrero de 2021","","","","90881","75980","7436"
"174626","2/17/2021, 8:00:10 AM","1930","Datos al 17 de febrero de 2021","","","","90989","76198","7439"
"174891","2/18/2021, 8:00:11 AM","1940","Datos al 18 de febrero de 2021","","","","91047","76385","7459"
"175321","2/19/2021, 9:00:09 AM","1947","Datos al 19 de febrero de 2021","","","","91149","76697","7475"
"176084","2/20/2021, 8:00:10 AM","1957","Datos al 20 de febrero de 2021","","","","91324","77249","7511"
"176769","2/21/2021, 9:00:10 AM","1979","Datos al 21 de febrero de 2021","","","","91527","77685","7557"
"177430","2/22/2021, 8:00:09 AM","1983","Datos al 22 de febrero de 2021","","","","91680","78173","7577"
"178065","2/23/2021, 8:00:08 AM","1986","Datos al 23 de febrero de 2021","","","","91816","78589","7660"
"178266","2/24/2021, 8:00:09 AM","2007","Datos al 24 de febrero de 2021","","","","91834","78747","7685"
"178588","2/25/2021, 8:00:09 AM","2016","Datos al 25 de febrero de 2021","","","","91919","78969","7700"
"179662","2/26/2021, 8:00:09 AM","2023","Datos al 26 de febrero de 2021","","","","92198","79732","7732"
"180370","2/27/2021, 9:00:09 AM","2032","Datos al 27 de febrero de 2021","","","","92262","80326","7782"
"181536","2/28/2021, 9:00:11 AM","2036","Datos al 28 de febrero de 2021","","","","92469","81239","7828"
"182674","3/1/2021, 9:00:10 AM","2037","Datos al 1 de marzo de 2021","","","","92708","82090","7876"
"183335","3/2/2021, 8:00:11 AM","2040","Datos al 2 de marzo de 2021","","","","92834","82600","7901"
"183432","3/3/2021, 8:00:08 AM","2048","Datos al 3 de marzo de 2021","","","","92856","82667","7909"
"183676","3/4/2021, 8:00:09 AM","2053","Datos al 4 de marzo de 2021","","","","92939","82809","7928"
"184405","3/5/2021, 8:00:08 AM","2056","Datos al 5 de marzo de 2021","","","","93114","83339","7952"
"195345","3/20/2021, 9:57:53 PM","2092","sábado, 20 de marzo de 2021","","","","95477","91450","8418"
"196230","3/21/2021, 8:00:18 AM","2096","domingo, 21 de marzo de 2021","","","","95762","92009","8459"
"196230","3/21/2021, 9:00:16 AM","2096","domingo, 21 de marzo de 2021","","","","95762","92009","8459"
"196230","3/21/2021, 12:30:15 PM","2096","domingo, 21 de marzo de 2021","","","","95762","92009","8459"
"197041","3/22/2021, 8:00:17 AM","2096","lunes, 22 de marzo de 2021","","","","95967","92525","8549"
"197041","3/22/2021, 9:00:20 AM","2096","lunes, 22 de marzo de 2021","","","","95967","92525","8549"
"197041","3/22/2021, 12:30:16 PM","2096","lunes, 22 de marzo de 2021","","","","95967","92525","8549"
"197606","3/23/2021, 8:00:17 AM","2098","martes, 23 de marzo de 2021","","","","96140","92863","8603"
"197606","3/23/2021, 9:00:16 AM","2098","martes, 23 de marzo de 2021","","","","96140","92863","8603"
"197606","3/23/2021, 12:30:17 PM","2098","martes, 23 de marzo de 2021","","","","96140","92863","8603"
"198001","3/24/2021, 8:00:22 AM","2100","miércoles, 24 de marzo de 2021","","","","96252","93113","8636"
"198001","3/24/2021, 9:00:18 AM","2100","miércoles, 24 de marzo de 2021","","","","96252","93113","8636"
"198001","3/24/2021, 12:30:15 PM","2100","miércoles, 24 de marzo de 2021","","","","96252","93113","8636"
"198426","3/25/2021, 8:00:15 AM","2103","jueves, 25 de marzo de 2021","","","","96293","93460","8673"
"198426","3/25/2021, 9:00:16 AM","2103","jueves, 25 de marzo de 2021","","","","96293","93460","8673"
"198426","3/25/2021, 12:30:15 PM","2103","jueves, 25 de marzo de 2021","","","","96293","93460","8673"
"199198","3/26/2021, 8:00:17 AM","2106","viernes, 26 de marzo de 2021","","","","96443","93972","8783"
"199198","3/26/2021, 9:00:16 AM","2106","viernes, 26 de marzo de 2021","","","","96443","93972","8783"
"199198","3/26/2021, 12:30:17 PM","2106","viernes, 26 de marzo de 2021","","","","96443","93972","8783"
"200314","3/27/2021, 8:00:16 AM","2109","sábado, 27 de marzo de 2021","","","","96732","94689","8893"
"200314","3/27/2021, 9:00:15 AM","2109","sábado, 27 de marzo de 2021","","","","96732","94689","8893"
"200314","3/27/2021, 12:30:15 PM","2109","sábado, 27 de marzo de 2021","","","","96732","94689","8893"
"200999","3/28/2021, 8:00:17 AM","2112","domingo, 28 de marzo de 2021","","","","96969","95106","8924"
"200999","3/28/2021, 9:00:34 AM","2112","domingo, 28 de marzo de 2021","","","","96969","95106","8924"
"200999","3/28/2021, 12:30:15 PM","2112","domingo, 28 de marzo de 2021","","","","96969","95106","8924"
"203603","3/29/2021, 8:00:17 AM","2112","lunes, 29 de marzo de 2021","","","","97282","97115","9206"
"203603","3/29/2021, 9:00:21 AM","2112","lunes, 29 de marzo de 2021","","","","97282","97115","9206"
"203603","3/29/2021, 12:30:19 PM","2112","lunes, 29 de marzo de 2021","","","","97282","97115","9206"
"204580","3/30/2021, 8:00:19 AM","2112","martes, 30 de marzo de 2021","","","","97615","97645","9320"
"204580","3/30/2021, 9:00:20 AM","2112","martes, 30 de marzo de 2021","","","","97615","97645","9320"
"204580","3/30/2021, 12:30:18 PM","2112","martes, 30 de marzo de 2021","","","","97615","97645","9320"
"204936","3/31/2021, 8:00:20 AM","2113","miércoles, 31 de marzo de 2021","","","","97713","97831","9392"
"204936","3/31/2021, 9:00:18 AM","2113","miércoles, 31 de marzo de 2021","","","","97713","97831","9392"
"204936","3/31/2021, 12:30:24 PM","2113","miércoles, 31 de marzo de 2021","","","","97713","97831","9392"
"205514","4/1/2021, 8:00:21 AM","2118","jueves, 01 de abril de 2021","","","","97966","98044","9504"
"205514","4/1/2021, 9:00:17 AM","2118","jueves, 01 de abril de 2021","","","","97966","98044","9504"
"205514","4/1/2021, 12:30:17 PM","2118","jueves, 01 de abril de 2021","","","","97966","98044","9504"
"206420","4/2/2021, 8:00:16 AM","2121","viernes, 02 de abril de 2021","","","","98294","98440","9686"
"207818","4/3/2021, 8:00:15 AM","2126","sábado, 03 de abril de 2021","","","","98917","99046","9855"
"208936","","2126","domingo, 04 de abril de 2021","","","","99387","99529","10020"
"209644","","2131","lunes, 05 de abril de 2021","","","","99693","99811","10140"
